Station_ID,pm,DISTANCE,COM2,COM5,GRE1,GRE4,GRE5,GRE6,INS6,IND5,RES1,RES2,RES6,URB1,URB6, RUR1,RUR2,RUR3,RUR5,FAC4,FAC6,TAXI2,TAXI4,TAXI5,TAXI6,TAXI7,EMP2,RESPOP3,p1temp,p1wind,p1hum
Miyun,68.12,0.5601244,0,0,0,0.058739996,0.033124709,0.109483576,0,0,0,0,0,1,0.862015287,0,0,0,0,6.3662E-07,1.06103E-06,0.000127324,0.000859437,0.002313476,0.00426507,0.004580479,0.001037108,0.004907195,0.190851304,0.019658455,0.584533348
Yanqing,67.12,0.5534385,0,0,0.999990093,0.273110006,0.285160108,0.382840241,0,0,0,0,0,0,0.569565629,0,0,0,0.003097701,9.5493E-07,4.95149E-07,3.1831E-05,0.000251111,0.000561499,0.000810912,0.001398654,0.000267211,0.001702454,0.172155824,0.019954233,0.572549128
Dingling of Changping District,65.33,0.2971901,0,0.000128966,0.934049992,0.932847453,0.948341758,0.928365399,0.014053704,0.014317958,0,0,0,0,0.011559327,0,0,0.033762132,0.014214052,0,1.06103E-07,0.000413803,0.000565884,0.000285206,0.000161277,0.000128279,4.95697E-05,0.000218762,0.205412356,0.018194039,0.569041672
Badaling,71.56,0.4668981,0,0,0.468234821,0.795615008,0.757703682,0.815227054,0,0,0,0,0,0,0.066933562,0.531753222,0.387975519,0.220749185,0.108574924,0,3.53678E-08,0,0,1.78254E-05,4.13095E-05,4.55183E-05,9.94304E-05,9.89335E-05,0.204907744,0.019309984,0.57309166
Miyun reservoir,87.97,0.707342,0,0,1,0.970693442,0.986186961,0.992615839,0,5.30498E-05,0,0,0,0,0.005678188,0,0,0,0,0,0,0,0,0,0,0,5.11841E-05,0.000164034,0.185288811,0.020365866,0.585183334
Donggaocun,84.76,0.5536646,0,0,0.847796252,0.686744183,0.734895362,0.741911809,0,0,0,0,0,0,0.143956224,0.152197016,0.189587184,0.088961801,0.126778974,3.1831E-07,1.41471E-07,0,3.1831E-05,5.98423E-05,0.000522311,0.00045391,9.5669E-05,0.000480445,0.197814162,0.018951996,0.580349998
Yongledian,95.13,0.287313,0,0,0,0.181431174,0.584385311,0.72903965,0,0.002683185,0,0,0,0.954329749,0.139093137,0,0,0,0.081701518,6.3662E-07,1.06103E-07,0.000254648,0.000244038,0.00077031,0.000386499,0.000227592,8.93883E-05,0.0004286,0.191497732,0.018384465,0.576783333
Yufa,90.32,0.4529578,0,0.025237339,0,0.305977493,0.480452265,0.59995437,0,0.001203713,0,0,0,1,0.249556901,0,0,0,0.070169974,0,7.07355E-08,0,7.07355E-06,2.54648E-06,3.96119E-06,4.77465E-06,8.91225E-05,0.000418255,0.191533568,0.019234109,0.580772222
Liulihe,90.69,0.402736,0,0,0.314353015,0.417184583,0.268647866,0.318946492,0,0.000247827,0,0,0,0,0.080087554,0.68564033,0.5358215,0.423950661,0.062402998,0,1.06103E-07,0,4.59781E-05,3.05577E-05,2.03718E-05,1.24141E-05,8.09331E-05,0.000559056,0.191533568,0.019234109,0.580772222
Qianmen East Street,88.29,0.0770658,0.02680983,0.133247218,0,0.063613224,0.08820771,0.08982184,0.098732435,0,0,0,0.048625605,1,0.64852961,0,0,0,0,9.5493E-07,8.48826E-07,0.021485917,0.015873053,0.013245511,0.010982115,0.01423259,0.016972508,0.012715629,0.20575683,0.017524413,0.566225014
Xizhimen North Street,94.53,0.0854512,0,0.090702189,0.199620084,0.338730849,0.179979886,0.122477064,0.065921887,0,0,0,0.117999834,0.800369176,0.755711735,0,0,0,0,6.3662E-07,1.13177E-06,0.005538592,0.011890643,0.008156373,0.008784221,0.009732961,0.006082491,0.022898018,0.207122444,0.017568448,0.566269458
West Road of South 3th Ring,85.92,0.0953274,0,0.095297477,0,0.013767286,0.028320549,0.05274142,0.099582443,0,0.256324739,0.391308591,0.098473314,1.48733049,0.9759244,0,0,0,0,2.22817E-06,1.13177E-06,0.019353241,0.019172865,0.019432182,0.017699727,0.015085342,0.017375307,0.028706634,0.201662521,0.017358013,0.566225014
North Road of East 4th Ring,80.55,0.1155649,0,0.062243476,0.474495256,0.076421449,0.077313397,0.082378234,0.031542418,0,0.047779082,0.237300045,0.256466055,0.955437506,0.770404404,0,0.007256284,0.012096387,0.008341388,3.1831E-07,1.06103E-06,0.009581128,0.010479469,0.017176001,0.016054702,0.017297278,0.004537068,0.018520106,0.208678191,0.017481896,0.566758347
Inner YongDingMen street,50.13,0.0330902,0,0.053212824,0.224961379,0.073551816,0.084535506,0.088329508,0.033409312,0,0,0.02564426,0.259428719,0.775028371,0.566201217,0,0,0,5.77421E-06,0,4.24413E-07,0.000445634,0.008148733,0.005457105,0.005785035,0.005894781,0.004351408,0.013403046,0.204599121,0.017567454,0.566225049
